No,Tình,Tên cụm,Loại cụm,Mô tả,Một số điểm trong cụm,Tiếp giáp
1,Lâm Đồng,Đà Lạt,Cụm lớn,"Nghỉ dưỡng cao nguyên, tham quan hoa cảnh, kiến trúc di sản và du lịch sinh thái rừng thông.","Hồ Xuân Hương

Thung Lũng Tình Yêu

Hồ Tuyền Lâm

Thiền viện Trúc Lâm

Đỉnh Langbiang

Thác Datanla

Thác Prenn

Đồi chè Cầu Đất

Trại Mát

Chùa Linh Phước (Chùa Ve Chai)

Ga Đà Lạt

Dinh I, Dinh II, Dinh III (Dinh Bảo Đại)

Nhà thờ Con Gà

Nhà thờ Domaine de Marie

Quảng trường Lâm Viên

Thác Cam Ly

Hồ Dankia - Suối Vàng

Thác Ankroet

Làng Đất Sét (Đường hầm Hỏa Sa)

Đồi Mộng Mơ

Vườn quốc gia Bidoup - Núi Bà

Thác Hang Cọp

Đèo Ngoạn Mục (phía Lâm Đồng)","Tiếp giáp:

Cụm Đức Trọng

Cụm Bảo Lộc

Cụm Tà Đùng"
2,Lâm Đồng,Đức Trọng,Cụm nhỏ,"Khám phá hệ thống đại thác hùng vĩ, du lịch tâm linh Nam Ban và săn cỏ hồng cao nguyên.","Thác Pongour (Thác Bảy Tầng)

Thác Voi (Liêng Rowoa)

Chùa Linh An

Hồ Đại Ninh

Thác Bảo Đại (Jraiblian)

Đồi cỏ hồng Masara

Suối nước nóng Đạ Long

Thác 7 Tầng Dam Rông

Sân bay Liên Khương

Làng nghề thêu dệt thổ cẩm K'Ho","Cụm Đà Lạt

Cụm Bảo Lộc

Cụm Tà Đùng

Cụm Gia Nghĩa"
3,Lâm Đồng,Bảo Lộc,Cụm lớn,"Trải nghiệm không gian đồi chè, tơ lụa, săn mây đỉnh núi và tham quan các thiền viện thanh tịnh.","Các điểm đến thuộc cụm:

Thác Damb'ri

Đồi chè Tâm Châu

Linh Quy Pháp Ấn

Tu viện Bát Nhã

Hồ Nam Phương

Chùa Trà

Núi Lu Bu

Thác Bobla (Di Linh)

Hồ Kala

Đèo Gia Bắc

Đèo Bảo Lộc","Cụm Đà Lạt

Cụm Đức Trọng

Cụm Madagui

Cụm Đa Mi

Cụm Tà Đùng"
4,Lâm Đồng,Madagui,Cụm nhỏ,"Khám phá du lịch mạo hiểm rừng nguyên sinh, cắm trại dã ngoại và hoạt động thể thao dưới nước.","Khu du lịch sinh thái rừng Madagui

Thác Đạ B'ri (Đạ Tẻh)

Hồ Đạ Tẻh

Chân đèo Bảo Lộc

Hồ Đạ Tôn","Tiếp giáp:

Cụm Bảo Lộc

Cụm Cát Tiên"
5,Lâm Đồng,Cát Tiên,Cụm nhỏ,"Khám phá đa dạng sinh học rừng mưa nhiệt đới, trekking Bàu Sấu và khảo cổ học di tích cổ đại.","Vườn quốc gia Cát Tiên (Bàu Sấu, Tuyến xem thú đêm, Cây tung cổ thụ)

Di tích Quốc gia đặc biệt Thánh địa Cát Tiên

Chùa Hang (Cát Tiên)","Tiếp giáp:

Cụm Madagui

Cụm Gia Nghĩa"
6,Lâm Đồng,Gia Nghĩa,Cụm lớn,"Trải nghiệm không gian đô thị trung tâm Tây Nguyên, khám phá các hồ nước nguyên sơ và đồi thông.","Thành phố Gia Nghĩa

Thác Liêng Nung

Thác Đắk G'lun (Tuy Đức)

Thác Mơ

Hồ Đại La

Chùa Pháp Hoa

Thiền viện Trúc Lâm Đạo Nguyên

Rừng thông Bồ Tùng

Rừng Nậm N'Jang

Hồ Tây Đắk Mil

Di tích Đồn Bốt Đắk Mil","Cụm Tà Đùng

Cụm Krông Nô

Cụm Đức Trọng

Cụm Cát Tiên"
7,Lâm Đồng,Tà Đùng,Cụm nhỏ,"Ngoạn cảnh ""Vịnh Hạ Long trên Tây Nguyên"", nghỉ dưỡng view lòng hồ và cắm trại dã ngoại.","Các điểm đến thuộc cụm:

Hồ Tà Đùng

Vườn quốc gia Tà Đùng

Đỉnh Tà Đùng

Vịnh Tà Đùng

Thác Sun Flower (Thác Bảy Tầng Tà Đùng)

Bến thuyền du lịch Tà Đùng

Hệ thống Homestay / Glamping lòng hồ Tà Đùng","Tiếp giáp:

Cụm Gia Nghĩa

Cụm Bảo Lộc

Cụm Đức Trọng

Cụm Đà Lạt

Cụm Đa Mi"
8,Lâm Đồng,Krông Nô,Cụm nhỏ,Khám phá hệ thống hang động núi lửa dài nhất Đông Nam Á và quần thể đại thác sông Sêrêpôk.,"Hang động Núi Lửa Krông Nô (Hang C7, C6.1, C3...)

Thác Dray Sáp (bờ Đắk Nông)

Thác Gia Long

Thác Trinh Nữ

Chùa Hoa Nghiêm

Khu di tích lịch sử Căn cứ B4 - Liên tỉnh IV

Sông Sêrêpôk (đoạn qua Krông Nô)",Cụm Gia Nghĩa
9,Lâm Đồng,Phan Thiết,Cụm lớn,"Nghỉ dưỡng biển cao cấp, thể thao dưới nước, làng chài truyền thống và di sản văn hóa Chăm Pa","Bãi biển Mũi Né

Bãi biển Hàm Tiến

Hòn Rơm

Bãi Rạng

Suối Tiên

Đồi Cát Đỏ (Đồi Cát Bay)

Làng chài Mũi Né

Bãi đá Ông Địa

Tháp Pô Sah Inư

Trường Dục Thanh

Dinh Vạn Thủy Tú

Lầu Ông Hoàng

Đảo Hòn Lao (Hòn Ghềnh)

Chợ Phan Thiết","Tiếp giáp:

Cụm Bàu Trắng

Cụm Kê Gà

Cụm Đa Mi"
10,Lâm Đồng,Bàu Trắng,Cụm nhỏ,"Băng qua ""tiểu sa mạc"" đồi cát trắng, trải nghiệm xe địa hình và ngoạn cảnh cung đường biển đẹp nhất Việt Nam.","Đồi Cát Trắng (Bàu Trắng / Bàu Sen)

Cung đường biển Hòa Thắng - Hòa Phú

Mũi Yến

Bãi biển Bãi Chùa

Bãi biển La Bàn","Tiếp giáp:

Cụm Phan Thiết

Cụm Cổ Thạch"
11,Lâm Đồng,Cổ Thạch,Cụm nhỏ,"Khám phá bãi đá rêu xanh nhiều màu sắc, du lịch tâm linh cổ tự và khám phá hòn đảo hoang sơ.","Bãi đá 7 màu Cổ Thạch

Chùa Cổ Thạch (Chùa Hang)

Bãi Cà Dược

Đảo Cù Lao Cau (Hòn Cau)

Gành Son

Mũi La Gàn

Hồ Sông Lòng Sông

Cánh đồng điện gió Tuy Phong","Tiếp giáp:

Cụm Bàu Trắng"
12,Lâm Đồng,Kê Gà,Cụm nhỏ,"Tham quan hải đăng bằng đá cổ nhất Việt Nam, bãi đá nhảy hoang sơ và hành hương núi Tà Cú.","Hải đăng Kê Gà

Mũi Kê Gà

Bãi biển Thuận Quý

Núi Tà Cú

Chùa Linh Sơn Trường Thọ (Tượng Phật nằm)

Bãi biển Tiến Thành","Tiếp giáp:

Cụm Phan Thiết

Cụm La Gi

Cụm Đa Mi"
13,Lâm Đồng,La Gi,Cụm lớn,"Du lịch biển dã ngoại, cắm trại bãi biển, ẩm thực hải sản và trải nghiệm tín ngưỡng dân gian.","Bãi biển Cam Bình

Bãi biển Cốc Bãi Rẻ

Dinh Thầy Thím

Mũi Đá

Mũi Tân An

Đồi Cát Trắng Tân Bình

Bãi biển Ngân Hà

Đập Đá Mựt","Tiếp giáp:

Cụm Kê Gà"
14,Lâm Đồng,Đa Mi,Cụm nhỏ,"Du lịch sinh thái lòng hồ trên núi, tắm thác nguyên sinh và khám phá khu bảo tồn thiên nhiên.","Hồ Hàm Thuận - Đa Mi

Thác 9 Tầng Đa Mi

Thác Sương Mù

Khu bảo tồn thiên nhiên Núi Ông

Thác Bà Tánh Linh

Thác Mưa (Đức Linh)

Hồ Biển Lạc","Tiếp giáp:

Cụm Phan Thiết

Cụm Kê Gà

Cụm Bảo Lộc

Cụm Tà Đùng"
15,Lâm Đồng,Phú Quý,Cụm nhỏ,"Trải nghiệm du lịch hải đảo xa bờ, lặn ngắm san hô, check-in địa hình núi đá vôi lửa và văn hóa biển đảo.","Đảo Phú Quý

Bãi Nhỏ

Gành Hang

Cột cờ Phú Quý

Hòn Tranh

Hòn Đen

Chùa Linh Sơn

Hải đăng Phú Quý

Dốc Phượt

Phong điện Phú Quý

Chùa Thạnh Lâm

Vạn An Thạnh

Bãi Triều","Tiếp giáp:

Kết nối qua đường thủy với Cụm Phan Thiết."
16,Thành phố Hồ Chí Minh,TP. Hồ Chí Minh,Cụm lớn,"Trung tâm văn hóa, lịch sử, kiến trúc di sản, giải trí sầm uất và giao thoa ẩm thực đô thị.","Dinh Độc Lập

Nhà thờ Đức Bà

Bưu điện Trung tâm TP.HCM

Chợ Bến Thành

Phố đi bộ Nguyễn Huệ

Phố đi bộ Bùi Viện

Bảo tàng Lịch sử TP.HCM

Bảo tàng Chứng tích Chiến tranh

Bảo tàng Mỹ thuật TP.HCM

Nhà hát Thành phố

Thảo Cầm Viên Sài Gòn

Chợ Lớn (Chùa Bà Thiên Hậu, Chợ Bình Tây)

Tòa nhà Landmark 81

Khu du lịch Văn Thánh

Khu du lịch Bình Quới (1, 2, 3)

Công viên Văn hóa Suối Tiên

Bảo tàng Áo Dài

Chùa Bửu Long

Cầu Ánh Sao & Hồ Bán Nguyệt (Phú Mỹ Hưng)

Công viên Bến Bạch Đằng","Tiếp giáp:

Cụm Củ Chi

Cụm Cần Giờ

Cụm Thủ Dầu Một

Cụm Bà Rịa

Cụm Vũng Tàu (kết nối đường thủy)"
17,Thành phố Hồ Chí Minh,Củ Chi,Cụm nhỏ,"Du lịch di tích lịch sử chiến trường, trải nghiệm bắn súng thể thao và nông nghiệp sinh thái miệt vườn.","Địa đạo Củ Chi (Bến Dược, Bến Đình)

Đền đền thờ Bến Dược

Nông trang Xanh Green Noen

Làng nghề bánh tráng Phú Hòa Đông

Bến du lịch sinh thái Bến Đường

Khu du lịch sinh thái Làng Củ Chi","Tiếp giáp:

Cụm TP. Hồ Chí Minh

Cụm Thủ Dầu Một

Cụm Dầu Tiếng"
18,Thành phố Hồ Chí Minh,Củ Chi,Cụm nhỏ,"Thám hiểm khu dự trữ sinh quyển thế giới Rừng Sác, du lịch sinh thái rừng ngập mặn và nghỉ dưỡng đảo nguyên sơ.","Khu dự trữ sinh quyển Rừng Sác Cần Giờ

Đảo Khỉ Cần Giờ

Di tích Căn cứ Chiến khu Rừng Sác

Khu du lịch sinh thái Vàm Sát

Bãi biển 30/4

Làng chài Cần Thạnh

Đảo Thạnh An

Đảo Thiềng Liềng

Lăng Ông Thủy Tướng Cần Giờ","Tiếp giáp:

Cụm TP. Hồ Chí Minh

Cụm Vũng Tàu (kết nối tuyến phà/đường thủy)"
19,Thành phố Hồ Chí Minh,Thủ Dầu Một,Cụm lớn,"Tham quan siêu quần thể du lịch tâm linh - giải trí, khám phá làng nghề truyền thống gốm - sơn mài và miệt vườn cây trái.","Khu du lịch Đại Nam (Lạc Cảnh Đại Nam Văn Hiến)

Chùa Bà Thiên Hậu (Thủ Dầu Một)

Chùa Hội Khánh (Tượng Phật nằm trên mái)

Chùa Tây Tạng

Vườn trái cây Lái Thiêu

Làng gốm Lái Thiêu / Tân Phước Khánh

Làng sơn mài Tương Bình Hiệp

Chùa Châu Thới (Dĩ An)

Công viên Thành phố mới Bình Dương

Nhà cổ Trần Văn Cần","Tiếp giáp:

Cụm TP. Hồ Chí Minh

Cụm Củ Chi

Cụm Dầu Tiếng"
